,location,total_sqft,bath,balcony,bhk,price
107,other,1500.0,3.0,2.0,3,100.0
108,Nagavara,400.0,1.0,0.0,1,14.0
109,Malleshwaram,705.0,1.0,2.0,1,67.0
110,Hulimavu,1242.0,2.0,3.0,2,51.0
111,Hebbal Kempapura,1700.0,3.0,2.0,3,155.0
112,Thanisandra,2144.0,3.0,2.0,3,145.0
113,other,1846.0,3.0,2.0,3,300.0
114,KR Puram,1277.5,2.0,0.0,2,56.8
115,Marathahalli,1200.0,2.0,2.0,2,52.0
116,Pattandur Agrahara,1550.0,2.0,3.0,3,80.0
117,Marathahalli,1200.0,2.0,2.0,2,60.0
118,Yelahanka,1327.0,2.0,2.0,2,98.0
119,Kothanur,1186.0,2.0,2.0,2,58.0
120,other,1783.0,3.0,1.0,3,115.0
121,Nagasandra,980.0,2.0,1.0,2,48.0
122,EPIP Zone,1285.0,2.0,2.0,2,82.0
123,other,912.0,2.0,1.0,3,70.0
124,Kogilu,1909.0,3.0,2.0,3,88.0
125,Panathur,1359.0,2.0,1.0,2,87.0
126,1st Block Jayanagar,2850.0,4.0,1.0,4,428.0
127,Kammasandra,1595.0,3.0,2.0,3,65.0
128,Electronics City Phase 1,1475.0,3.0,2.0,3,78.29
129,other,1580.0,3.0,3.0,3,100.0
130,Dasarahalli,1295.0,2.0,1.0,2,65.0
131,Magadi Road,3600.0,6.0,0.0,6,141.0
132,Electronic City,589.0,1.0,1.0,1,27.0
133,Sarjapur  Road,1787.0,3.0,2.0,3,98.29
134,Sarjapur  Road,1787.0,3.0,2.0,3,125.0
135,other,2405.0,4.0,2.0,3,260.0
136,7th Phase JP Nagar,1080.0,2.0,2.0,2,72.0
137,other,1500.0,2.0,1.0,2,115.0
138,Hebbal,1900.0,3.0,2.0,3,119.0
139,Dommasandra,805.0,2.0,1.0,2,22.14
140,Kalyan nagar,1290.0,2.0,2.0,2,110.0
141,Chandapura,645.0,1.0,1.0,1,16.45
142,Chandapura,645.0,1.0,1.0,1,16.45
143,Electronic City,1200.0,3.0,1.0,3,90.0
144,other,4050.0,3.0,2.0,3,280.0
145,OMBR Layout,2420.0,3.0,2.0,3,185.0
146,7th Phase JP Nagar,1270.0,2.0,2.0,2,93.0
147,Horamavu Agara,1200.0,2.0,0.0,4,95.0
148,Electronic City,1108.0,2.0,1.0,2,63.0
149,Ambedkar Nagar,2900.0,3.0,2.0,4,300.0
150,Raja Rajeshwari Nagar,1295.0,2.0,2.0,2,43.9
151,Budigere,1162.0,2.0,1.0,2,59.9
152,Kalena Agrahara,1804.0,3.0,2.0,3,120.0
153,Sarjapur,913.0,2.0,1.0,2,32.0
154,Talaghattapura,1868.0,3.0,2.0,3,131.0
155,Kengeri Satellite Town,883.0,2.0,1.0,2,45.0
156,other,900.0,2.0,1.0,2,110.0
157,Hegde Nagar,2026.0,3.0,2.0,3,132.0
158,Balagere,1210.0,2.0,1.0,2,80.9
159,Kadugodi,1762.0,3.0,3.0,3,91.45
160,Gollarapalya Hosahalli,861.0,2.0,1.0,2,34.5
161,7th Phase JP Nagar,1420.0,2.0,1.0,3,100.0
162,Electronics City Phase 1,1490.0,3.0,1.0,3,78.8
163,Bisuvanahalli,1075.0,2.0,1.0,3,46.0
164,Old Madras Road,1425.0,2.0,2.0,3,94.0
165,Kalena Agrahara,1200.0,2.0,1.0,2,40.0
166,Kaggadasapura,1280.0,2.0,2.0,3,56.0
167,Haralur Road,1027.0,2.0,2.0,2,44.0
168,Electronic City Phase II,1069.0,2.0,2.0,2,45.0
169,Hebbal,1349.0,2.0,1.0,2,98.2
170,9th Phase JP Nagar,1005.0,2.0,1.0,2,50.0
171,Jakkur,1417.0,2.0,3.0,2,75.0
172,TC Palaya,1475.0,3.0,1.0,3,98.0
173,Singasandra,1010.0,2.0,1.0,2,29.5
174,Kalena Agrahara,1425.0,2.0,1.0,3,70.0
175,Vijayanagar,1450.0,3.0,0.0,3,100.0
176,Kothanur,1847.0,3.0,2.0,3,105.0
177,AECS Layout,1100.0,2.0,3.0,2,45.0
178,Kanakpura Road,525.0,1.0,1.0,1,26.0
179,Mallasandra,1665.0,3.0,2.0,3,95.0
180,JP Nagar,1850.0,3.0,3.0,3,150.0
181,Panathur,1438.0,2.0,3.0,2,100.0
182,other,1560.0,3.0,3.0,3,115.0
183,Malleshpalya,1140.0,2.0,2.0,2,46.5
184,Whitefield,1280.0,2.0,2.0,2,75.0
185,Munnekollal,1170.0,2.0,2.0,2,52.0
186,Hennur Road,1385.0,2.0,1.0,2,83.09
187,Electronic City,1128.0,2.0,1.0,2,65.0
188,Marathahalli,1200.0,2.0,2.0,2,128.0
189,other,1200.0,4.0,3.0,4,165.0
190,Rajaji Nagar,2390.0,3.0,2.0,3,415.0
191,Giri Nagar,2400.0,4.0,1.0,4,400.0
192,Kaval Byrasandra,1200.0,2.0,2.0,2,52.0
193,other,1645.0,3.0,2.0,3,95.0
194,Sarjapur  Road,1000.0,2.0,1.0,2,67.0
195,Haralur Road,2650.0,4.0,2.0,4,198.0
196,6th Phase JP Nagar,1192.0,2.0,2.0,2,74.0
197,Ulsoor,2135.0,3.0,2.0,3,215.0
198,Uttarahalli,1020.0,2.0,2.0,2,45.0
199,other,1200.0,2.0,0.0,2,79.0
200, Devarachikkanahalli,1250.0,2.0,2.0,2,40.0
201,Kalena Agrahara,1325.0,2.0,2.0,2,76.0
202,7th Phase JP Nagar,1850.0,3.0,1.0,3,150.0
203,Basaveshwara Nagar,1200.0,2.0,2.0,2,65.0
204,other,1350.0,2.0,0.0,3,140.0
205,Bommasandra,1260.0,3.0,1.0,3,49.36
206,other,1800.0,3.0,0.0,3,150.0
207,Ardendale,1100.0,2.0,1.0,2,43.25
208,Harlur,1508.0,2.0,1.0,2,77.0
209,Akshaya Nagar,1388.0,2.0,3.0,2,57.0
210,Electronic City Phase II,630.0,1.0,1.0,1,28.35
211,other,2000.0,3.0,2.0,3,365.0
212,other,1762.0,3.0,1.0,3,125.0
213,Kodihalli,3252.0,5.0,3.0,4,335.0
214,Magadi Road,1116.0,2.0,1.0,2,50.0
215,Narayanapura,1308.0,2.0,2.0,2,89.04
216,other,1200.0,3.0,0.0,3,90.0
217,other,1500.0,4.0,2.0,4,230.0
218,Bannerghatta Road,500.0,1.0,1.0,1,18.5
219,Hennur,1075.0,2.0,1.0,2,52.0
220,Chandapura,530.0,1.0,0.0,1,11.66
221,Bellandur,1205.0,2.0,3.0,2,66.0
222,5th Phase JP Nagar,1075.0,2.0,2.0,2,60.0
223,KR Puram,930.0,2.0,2.0,2,39.0
224,Hebbal,2483.0,5.0,2.0,4,212.0
225,Kodigehaali,1166.0,2.0,2.0,2,55.0
226,Bannerghatta Road,1050.0,2.0,1.0,2,65.0
227,other,2023.71,3.0,2.0,3,275.0
228,Begur Road,1200.0,2.0,2.0,2,46.8
229,Lakshminarayana Pura,1600.0,2.0,1.0,3,108.0
230,8th Phase JP Nagar,451.0,1.0,0.0,1,29.9
231,Electronic City,1800.0,3.0,2.0,3,95.0
232,Hegde Nagar,1801.0,3.0,2.0,3,115.0
233,Anekal,1200.0,1.0,1.0,2,36.0
234,Begur Road,1160.0,2.0,2.0,2,44.0
235,Vijayanagar,1580.0,2.0,0.0,3,134.0
236,7th Phase JP Nagar,1245.0,2.0,1.0,2,94.0
237,Raja Rajeshwari Nagar,1145.0,2.0,2.0,2,45.79
238,Sompura,825.0,2.0,1.0,2,33.0
239,Yeshwanthpur,1693.0,3.0,3.0,3,108.0
240,Doddathoguru,1050.0,2.0,1.0,2,32.0
241,Dodda Nekkundi,1260.0,2.0,2.0,2,55.0
242,Hosur Road,1656.0,2.0,1.0,2,120.0
243,Chandapura,1208.0,3.0,1.0,3,45.0
244,Whitefield,1910.0,3.0,2.0,3,161.0
245,Whitefield,3252.0,4.0,1.0,4,230.0
246,Battarahalli,1200.0,2.0,1.0,2,65.0
247,other,1200.0,4.0,1.0,4,175.0
248,7th Phase JP Nagar,1175.0,2.0,1.0,2,82.0
249,other,1000.0,2.0,0.0,2,165.0
250,Bannerghatta Road,1200.0,2.0,0.0,4,125.0
251,Rajaji Nagar,2390.0,3.0,2.0,3,410.0
252,Kengeri,750.0,2.0,1.0,2,38.0
253,Billekahalli,1125.0,2.0,2.0,2,62.0
254,Nagarbhavi,1350.0,3.0,2.0,3,150.0
255,Anandapura,1000.0,2.0,1.0,2,55.0
256,Bommasandra Industrial Area,1090.0,2.0,2.0,2,31.48
257,TC Palaya,1200.0,2.0,0.0,2,60.0
258,Budigere,1991.0,4.0,2.0,3,103.0
259,Bommasandra,1060.0,2.0,1.0,2,26.5
260,Ambalipura,1105.0,2.0,1.0,2,75.0
261,Hoodi,985.0,2.0,2.0,2,67.0
262,CV Raman Nagar,1120.0,2.0,2.0,2,55.0
263,Marathahalli,1933.0,3.0,2.0,3,140.0
264,Hosur Road,1194.0,2.0,0.0,2,69.0
265,Brookefield,1150.0,2.0,3.0,2,69.0
266,Yelenahalli,1240.0,2.0,2.0,2,47.12
267,Raja Rajeshwari Nagar,1419.0,2.0,2.0,2,48.1
268,Dasanapura,708.0,1.0,1.0,2,40.0
269,Kasavanhalli,1000.0,4.0,3.0,3,110.0
270,Bellandur,1250.0,2.0,1.0,2,76.0
271,7th Phase JP Nagar,1400.0,2.0,1.0,3,95.0
272,Ardendale,1750.0,3.0,2.0,3,100.0
273,Vittasandra,1404.0,2.0,1.0,2,71.0
274,Electronic City,630.0,1.0,1.0,1,34.65
275,Harlur,1752.12,3.0,2.0,3,135.0
276,Raja Rajeshwari Nagar,1295.0,2.0,1.0,2,55.47
277,Giri Nagar,1800.0,3.0,2.0,3,252.0
278,Sarjapur  Road,1346.0,2.0,1.0,2,74.03
279,other,1200.0,4.0,2.0,4,200.0
280,Hormavu,1150.0,2.0,2.0,2,55.0
281,other,3309.0,4.0,3.0,4,325.0
282,AECS Layout,1620.0,3.0,2.0,3,98.0
283,Marathahalli,950.0,2.0,1.0,2,46.96
284,other,5000.0,9.0,3.0,11,360.0
285,Padmanabhanagar,1020.0,2.0,2.0,2,63.0
286,Chikkalasandra,1100.0,2.0,2.0,2,50.0
287,other,1150.0,2.0,2.0,2,126.0
288,Hebbal,1760.0,2.0,2.0,3,130.0
289,Ambalipura,1800.0,3.0,3.0,3,110.0
290,Akshaya Nagar,1070.0,2.0,1.0,2,54.0
291,2nd Stage Nagarbhavi,1500.0,4.0,2.0,4,220.0
292,Vidyaranyapura,1440.0,2.0,0.0,2,95.0
293,Amruthahalli,900.0,2.0,1.0,2,40.0
294,other,1200.0,4.0,1.0,4,230.0
295,Koramangala,1320.0,2.0,1.0,2,165.0
296,other,1270.0,2.0,1.0,2,98.0
297,Subramanyapura,929.0,2.0,0.0,2,50.17
298,7th Phase JP Nagar,3600.0,4.0,3.0,4,400.0
299,Chikkalasandra,1208.0,2.0,1.0,2,49.0
300,Hebbal Kempapura,1130.0,2.0,2.0,2,60.0
301,other,1753.0,3.0,2.0,3,120.0
302,Hoodi,1196.0,2.0,2.0,2,94.42
303,5th Phase JP Nagar,1150.0,3.0,3.0,2,52.5
304,Electronic City,1128.0,2.0,1.0,2,63.0
305,Kereguddadahalli,950.0,2.0,1.0,2,32.0
306,other,720.0,2.0,1.0,2,45.0
307,Lingadheeranahalli,1511.0,3.0,1.0,3,95.0
308,Shampura,375.0,2.0,0.0,1,26.0
309,Vidyaranyapura,1062.0,2.0,3.0,2,38.0
310,JP Nagar,1000.0,2.0,1.0,2,35.0
311,Kambipura,883.0,2.0,1.0,2,45.0
312,Sarjapur  Road,1195.0,2.0,1.0,2,70.0
313,other,1200.0,3.0,1.0,4,165.0
314,other,700.0,1.0,0.0,1,41.0
315,Vittasandra,1246.0,2.0,1.0,2,67.0
316,other,1595.0,3.0,2.0,3,115.0
317,other,1353.0,2.0,2.0,2,110.0
318,Electronic City,1599.0,3.0,2.0,3,125.0
319,Whitefield,1150.0,2.0,1.0,2,70.0
320,KR Puram,1155.0,2.0,2.0,2,42.74
321,other,1200.0,2.0,0.0,1,85.0
322,Electronic City Phase II,1000.0,2.0,1.0,2,25.0
323,Rajiv Nagar,1867.0,3.0,1.0,3,160.0
324,Ramagondanahalli,1251.0,2.0,1.0,2,47.0
325,Arekere,1222.0,2.0,2.0,2,45.0
326,Bannerghatta Road,1170.0,2.0,1.0,3,66.0
327,Hebbal,2400.0,4.0,1.0,3,245.0
328,HSR Layout,1372.0,2.0,1.0,2,68.0
329,Mico Layout,5000.0,9.0,3.0,9,210.0
330,other,3000.0,3.0,1.0,5,528.0
331,Whitefield,1768.0,3.0,2.0,3,101.0
332,other,1325.0,2.0,1.0,3,90.0
333,Electronic City,1599.0,3.0,2.0,3,99.0
334,other,2610.0,3.0,0.0,3,499.0
335,Uttarahalli,1286.0,2.0,2.0,2,63.0
336,Kammanahalli,2845.0,5.0,1.0,5,140.0
337,Hennur Road,1317.5,2.0,0.0,2,63.77
338,Munnekollal,1102.0,2.0,2.0,2,53.67
339,Chikkabanavar,950.0,2.0,1.0,2,40.0
340,Kanakpura Road,525.0,1.0,1.0,1,27.25
341,Attibele,656.0,2.0,1.0,2,25.0
342,Marathahalli,1780.0,4.0,3.0,4,175.0
343,other,1056.0,2.0,1.0,2,80.0
344,Bannerghatta Road,595.0,1.0,1.0,1,33.32
345,7th Phase JP Nagar,2225.0,3.0,1.0,3,160.0
346,Bommasandra,1126.0,2.0,1.0,2,28.15
347,Electronics City Phase 1,1490.0,3.0,1.0,3,84.0
348,HRBR Layout,2000.0,4.0,1.0,4,300.0
349,Sarjapur  Road,1550.0,3.0,3.0,3,100.0
350,Whitefield,4144.0,4.0,3.0,4,315.0
351,Sarjapur  Road,2100.0,3.0,2.0,3,125.0
352,Vittasandra,1404.0,2.0,1.0,2,69.3
353,Sarjapur  Road,2230.0,4.0,3.0,4,225.0
354,Banashankari Stage III,1305.0,2.0,1.0,3,58.7
355,Marathahalli,1230.0,2.0,2.0,2,80.0
356,Gottigere,967.0,2.0,3.0,2,45.0
357,other,540.0,1.0,1.0,1,36.0
358,Hormavu,715.0,1.0,2.0,1,46.0
359,Whitefield,2500.0,3.0,2.0,3,313.0
360,other,1578.0,3.0,1.0,3,180.0
361,Mysore Road,1020.0,2.0,1.0,2,48.95
362,Jigani,1020.0,2.0,1.0,2,40.0
363,Koramangala,1253.0,2.0,1.0,2,102.0
364,Kanakapura,1419.0,3.0,3.0,3,75.0
365,Harlur,1709.0,3.0,2.0,3,150.0
366,other,1600.0,2.0,0.0,2,115.0
367,other,416.0,1.0,1.0,1,18.5
368,Sanjay nagar,1100.0,2.0,2.0,2,98.0
369,Kalena Agrahara,1450.0,2.0,3.0,3,85.0
370,Konanakunte,2791.0,3.0,1.0,3,223.0
371,other,600.0,1.0,0.0,1,90.0
372,other,834.0,1.0,1.0,1,60.0
373,other,1125.0,4.0,1.0,3,70.0
374,Arekere,2060.0,3.0,2.0,3,140.0
375,Gottigere,891.0,2.0,1.0,2,25.0
376,Raja Rajeshwari Nagar,1133.0,2.0,1.0,2,49.07
377,other,3000.0,5.0,2.0,4,260.0
378,Brookefield,2440.0,5.0,2.0,4,425.0
379,Vidyaranyapura,1200.0,2.0,2.0,2,55.0
380,Kaggadasapura,1140.0,2.0,2.0,2,40.0
381,other,2160.0,5.0,1.0,6,250.0
382,Raja Rajeshwari Nagar,1090.0,2.0,1.0,2,42.0
383,Whitefield,4104.0,4.0,2.0,4,360.0
384,Hebbal,1920.0,3.0,2.0,3,134.0
385,HRBR Layout,1374.0,2.0,2.0,2,95.0
386,Bannerghatta Road,1445.0,3.0,2.0,3,95.0
387,Kanakapura,711.0,1.0,1.0,1,36.0
388,Tumkur Road,1500.0,3.0,3.0,3,95.0
389,Whitefield,1720.0,3.0,3.0,3,100.0
390,Vasanthapura,1400.0,3.0,2.0,3,60.0
391,Kundalahalli,1030.0,2.0,2.0,2,49.0
392,Mysore Road,1200.0,2.0,1.0,2,85.0
393,Jalahalli,2250.0,3.0,2.0,3,160.0
394,Bellandur,1000.0,2.0,2.0,2,50.0
395,other,469.0,1.0,0.0,1,25.0
396,Marathahalli,3800.0,4.0,3.0,4,250.0
397,Kambipura,883.0,2.0,1.0,2,29.0
398,GM Palaya,1820.0,2.0,3.0,3,86.0
399,Singasandra,1440.0,2.0,3.0,3,65.0
400,Malleshwaram,2500.0,5.0,2.0,4,325.0
401,Mahadevpura,1225.0,2.0,2.0,2,48.0
402,other,4000.0,3.0,1.0,3,660.0
403,Chikkalasandra,875.0,2.0,3.0,2,52.8
404,Jalahalli East,750.0,1.0,2.0,1,40.0
405,6th Phase JP Nagar,1180.0,2.0,3.0,2,80.0
406,Haralur Road,1194.0,2.0,2.0,2,47.0
407,Hosakerehalli,2378.0,3.0,1.0,3,262.0
408,Sarjapur,1128.0,2.0,1.0,2,60.0
409,Hebbal,1500.0,3.0,1.0,3,150.0
410,Bommasandra,1200.0,3.0,2.0,3,46.0
411,Horamavu Agara,1200.0,2.0,1.0,2,45.0
412,Raja Rajeshwari Nagar,1260.0,2.0,1.0,2,67.39
413,Bisuvanahalli,1075.0,2.0,1.0,3,45.0
414,Thanisandra,1702.0,3.0,2.0,3,130.0
415,other,1630.0,2.0,2.0,2,200.0
416,Raja Rajeshwari Nagar,1141.0,2.0,2.0,2,38.55
417,other,1200.0,2.0,0.0,3,70.0
418,other,1350.0,3.0,0.0,3,77.0
419,other,4046.0,4.0,0.0,4,445.0
420,other,1180.0,2.0,2.0,3,78.34
421,other,1355.0,2.0,2.0,2,115.0
422,other,600.0,1.0,0.0,1,50.0
423,Bannerghatta Road,1640.0,2.0,1.0,3,120.0
424,Kodichikkanahalli,1190.0,2.0,2.0,3,57.0
425,OMBR Layout,2400.0,4.0,2.0,4,375.0
426,Marathahalli,1019.0,2.0,2.0,2,49.85
427,other,1875.0,3.0,2.0,3,165.0
428,Brookefield,1200.0,3.0,2.0,3,140.0
429,Lingadheeranahalli,1683.0,3.0,1.0,3,109.0
430,Varthur Road,1083.0,2.0,2.0,2,61.75
431,other,600.0,2.0,1.0,2,55.0
432,other,1750.0,3.0,1.0,3,120.0
433,Anjanapura,1500.0,3.0,1.0,3,139.0
434,Abbigere,985.0,2.0,1.0,2,40.39
435,Tindlu,1500.0,2.0,1.0,3,87.0
436,other,1092.0,2.0,1.0,3,98.5
437,Electronic City Phase II,1090.0,2.0,1.0,2,28.34
438,Hennur Road,2264.0,3.0,1.0,3,159.0
439,Kammasandra,810.0,2.0,2.0,2,24.5
440,Hebbal,1337.0,2.0,1.0,2,82.0
441,Chandapura,1200.0,2.0,2.0,2,32.0
442,Koramangala,1580.0,3.0,2.0,3,160.0
443,Whitefield,1640.0,4.0,2.0,3,91.0
444,Gubbalala,1470.0,2.0,2.0,3,82.0
445,7th Phase JP Nagar,1050.0,2.0,1.0,2,71.0
446,other,1855.0,3.0,1.0,3,225.0
447,Bannerghatta Road,1460.0,2.0,1.0,3,90.0
448,Hulimavu,1823.0,3.0,2.0,3,100.0
449,Parappana Agrahara,1200.0,3.0,2.0,4,85.0
450,Jakkur,1590.0,2.0,2.0,3,125.0
451,Raja Rajeshwari Nagar,1200.0,4.0,0.0,4,220.0
452,Haralur Road,1202.0,2.0,1.0,2,53.0
453,Panathur,1688.0,3.0,1.0,3,118.0
454,Kaval Byrasandra,1020.0,2.0,1.0,2,52.0
455,Sarjapur,1185.0,2.0,2.0,2,47.0
456,Ramagondanahalli,1235.0,2.0,1.0,2,52.04
457,Hosakerehalli,3205.0,5.0,1.0,4,500.0
458,Banashankari,1077.0,2.0,2.0,2,37.64
459,Kengeri Satellite Town,1415.0,2.0,3.0,3,66.0
460,EPIP Zone,2330.0,3.0,2.0,3,162.0
461,other,425.0,1.0,0.0,1,20.03
462,Cunningham Road,5270.0,4.0,3.0,4,1250.0
463,Anekal,656.0,2.0,1.0,2,22.0
464,Mahadevpura,1150.0,2.0,3.0,2,52.0
465,other,600.0,1.0,1.0,1,60.0
466,other,1468.0,2.0,1.0,2,140.0
467,other,4300.0,5.0,2.0,4,550.0
468,Whitefield,2280.0,4.0,2.0,3,126.0
469,Hegde Nagar,1341.0,2.0,1.0,2,97.0
470,Jakkur,1279.0,2.0,1.0,2,77.0
471,Electronic City Phase II,2225.0,4.0,0.0,4,98.88
472,Kudlu,1152.0,2.0,1.0,2,53.5
473,Hulimavu,1300.0,2.0,3.0,2,36.0
474,Varthur Road,2760.0,4.0,2.0,4,155.0
475,5th Phase JP Nagar,1070.0,2.0,2.0,2,39.0
476,Uttarahalli,1101.0,2.0,0.0,2,45.0
477,other,775.0,2.0,1.0,2,55.0
478,Yeshwanthpur,667.0,1.0,1.0,1,36.85
479,Electronic City,1070.0,2.0,1.0,2,55.0
480,Kundalahalli,735.0,2.0,1.0,2,57.99
481,Marathahalli,1215.0,2.0,1.0,2,67.0
482,Vishwapriya Layout,820.0,2.0,1.0,2,30.0
483,Banashankari Stage VI,1177.5,2.0,0.0,2,59.935
484,Battarahalli,1779.0,3.0,2.0,3,89.61
485,Jalahalli,1694.0,2.0,2.0,2,150.0
486,Hosakerehalli,2376.0,3.0,1.0,3,203.0
487,Kammasandra,674.0,2.0,1.0,2,33.0
488,Kaggadasapura,1185.0,2.0,1.0,2,41.0
489,other,445.0,1.0,0.0,1,28.0
490,HSR Layout,1475.0,3.0,2.0,3,75.0
491,Gottigere,1618.0,3.0,3.0,3,82.5
492,Koramangala,1120.0,2.0,0.0,2,65.0
493,Marathahalli,2181.0,3.0,2.0,4,152.0
494,Vidyaranyapura,1200.0,4.0,0.0,4,90.0
495,Bannerghatta Road,1179.0,2.0,1.0,2,66.02
496,Thanisandra,1296.0,2.0,2.0,2,83.0
497,Kaggadasapura,1275.0,2.0,2.0,2,52.0
498,Kathriguppe,1400.0,2.0,2.0,3,77.0
